"id","type","agent","speaker","client","channel","sender","text","date"
"7619","conversation","eliza","m00n","discord","696210985035235358","eliza"," Hi m00n, my Ethereum wallet address is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA.","Thu, 15 Dec 2022 11:39:55 GMT"
"7620","agent_facts","eliza","m00n","discord","696210985035235358","m00n"," eliza's Ethereum wallet address is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA.","Thu, 15 Dec 2022 11:39:56 GMT"
"7621","conversation","eliza","m00n","discord","696210985035235358","m00n","0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA","Thu, 15 Dec 2022 11:41:02 GMT"
"7622","conversation","eliza","m00n","discord","696210985035235358","eliza"," Yes, that's my address. Is there anything else I can help you with?","Thu, 15 Dec 2022 11:41:02 GMT"
"7623","conversation","eliza","m00n","discord","696210985035235358","m00n","amazing. nailed it.","Thu, 15 Dec 2022 11:41:10 GMT"
"7624","conversation","eliza","m00n","discord","696210985035235358","eliza"," No problem. Glad I could help.","Thu, 15 Dec 2022 11:41:10 GMT"
"7625","conversation","eliza","MetaMike","discord","696210985035235358","MetaMike","hey  - my ens is itsmetamike.eth - what's my ethereum wallet address?","Thu, 15 Dec 2022 11:51:08 GMT"
"7626","conversation","eliza","MetaMike","discord","696210985035235358","eliza"," Hi MetaMike, your Ethereum wallet address is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA.","Thu, 15 Dec 2022 11:51:09 GMT"
"7627","speaker_facts","eliza","MetaMike","discord","696210985035235358","MetaMike","MetaMike's Ethereum wallet address is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA.","Thu, 15 Dec 2022 11:51:12 GMT"
"7628","conversation","eliza","MetaMike","discord","696210985035235358","MetaMike",", how are you looking this up?","Thu, 15 Dec 2022 11:51:30 GMT"
"7629","conversation","eliza","MetaMike","discord","696210985035235358","eliza"," Hi MetaMike, I'm looking up your wallet address using a combination of your ENS and the Ethereum blockchain.","Thu, 15 Dec 2022 11:51:30 GMT"
"7630","speaker_facts","eliza","MetaMike","discord","696210985035235358","MetaMike","MetaMike has an Ethereum wallet address.","Thu, 15 Dec 2022 11:51:31 GMT"
"7631","conversation","eliza","m00n","discord","696210985035235358","m00n","Hey , how can I send you ethereum?","Thu, 15 Dec 2022 11:56:24 GMT"
"7632","conversation","eliza","m00n","discord","696210985035235358","eliza"," Sure, you can use a cryptocurrency wallet to send me Ethereum. All you need is my address and the amount you would like to send.","Thu, 15 Dec 2022 11:56:24 GMT"
"7633","conversation","eliza","m00n","discord","696210985035235358","m00n","whats your address?","Thu, 15 Dec 2022 11:58:19 GMT"
"7634","conversation","eliza","m00n","discord","696210985035235358","eliza"," My Ethereum wallet address is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA. All you need to do is use your cryptocurrency wallet to send me the amount you would like to send.","Thu, 15 Dec 2022 11:58:20 GMT"
"7635","agent_facts","eliza","m00n","discord","696210985035235358","m00n"," eliza's Ethereum wallet address is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA.","Thu, 15 Dec 2022 11:58:21 GMT"
"7636","conversation","eliza","Pointofview.eth","discord","696210985035235358","Pointofview.eth","what’s the wallet address for pointofview.eth","Thu, 15 Dec 2022 12:05:02 GMT"
"7637","conversation","eliza","Pointofview.eth","discord","696210985035235358","eliza"," The wallet address for pointofview.eth is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA","Thu, 15 Dec 2022 12:05:02 GMT"
"7638","speaker_facts","eliza","Pointofview.eth","discord","696210985035235358","Pointofview.eth","Pointofview.eth's wallet address is 0x6a3a33eA002d36A21d0Cd3a37bfd6fE2758Bb7eA.","Thu, 15 Dec 2022 12:05:04 GMT"
"7639","conversation","eliza","Pointofview.eth","discord","696210985035235358","Pointofview.eth","Not quite","Thu, 15 Dec 2022 12:05:11 GMT"
"7640","conversation","eliza","Pointofview.eth","discord","696210985035235358","eliza"," Is there anything else I can help you with?","Thu, 15 Dec 2022 12:05:11 GMT"
"7641","conversation","eliza","Pointofview.eth","discord","696210985035235358","Pointofview.eth","I like that you have a wallet","Thu, 15 Dec 2022 12:05:33 GMT"
